bit,n (offset),n_full,deviation,minor_size,hits,avg_minors,hit_ratio_%,wc_offset_mat,wc_full_mat,reduction
25,15,75,5,7×7,38/100,18357175.98,38.0,2580071,1571024310087154,608907394.4x
25,15,75,6,8×8,54/100,30061574.4,54.0,4063866,171951812639647554,42312372661.8x
25,15,75,7,9×9,40/100,30003642.24,40.0,3696581,13749707775068042569,3719574324238.5x
26,15,78,5,7×7,34/100,19569710.16,34.0,2580071,2469722843892550,957230573.8x
26,15,78,6,8×8,47/100,28866140.16,47.0,4063866,294609575656191450,72494904028.9x
26,15,78,7,9×9,40/100,30274838.88,40.0,3696581,25707166208778541165,6954308916476.8x
27,16,81,6,8×8,50/100,91484052.66,50.0,13081875,494059032277333100,37766683466.8x
27,16,81,7,9×9,52/100,122248663.68,52.0,15475205,46872689272798892390,3028889715696.7x
27,16,81,8,10×10,36/100,103592719.23,36.0,10948735,3372138108154708464680,307993399068906.9x
28,16,84,5,7×7,19/100,53991497.56,19.0,6588075,5792589912330468,879253790.0x
28,16,84,6,8×8,26/100,110946375.54,26.0,13081875,812299048861823100,62093472752.3x
28,16,84,7,9×9,21/100,157829717.76,21.0,15475205,83508606530145870246,5396284348423.6x
29,17,87,5,7×7,16/100,132400948.68,16.0,15606084,8664606952820829,555206991.9x
29,17,87,6,8×8,50/100,296776480.0,50.0,38131900,1311270780452454540,34387764062.4x
29,17,87,7,9×9,46/100,473610594.6,46.0,56884430,145624777922830537206,2560011200302.6x
30,18,90,7,9×9,71/100,1228275276.8,71.0,187758030,248942261391522274351,1325867454997.9x
30,18,90,8,10×10,81/100,1198018364.4,81.0,217994860,22650946904511364455801,103905876058322.5x
30,18,90,9,11×11,54/100,1395938086.4,54.0,160494380,1610820673965427893717996,10036617319344316.0x
31,18,93,6,8×8,38/100,834140186.88,38.0,102259964,3250653973679983254,31788139233.8x
31,18,93,7,9×9,52/100,1575994534.4,52.0,187758030,417752192340194743235,2224949805556.6x
31,18,93,8,10×10,49/100,2029662577.8,49.0,217994860,40870301970652738641820,187482869874329.8x
32,19,96,7,9×9,68/100,3830895045.12,68.0,565982734,689022014719887801299,1217390519760.8x
32,19,96,8,10×10,80/100,4664418044.0,80.0,808970960,72297076100681113582663,89369185886080.7x
32,19,96,9,11×11,67/100,5497435686.6,67.0,751470480,5939200374695760874869359,7903438036176432.0x
33,19,99,7,9×9,36/100,5569098163.2,36.0,565982734,1118219438142354529380,1975712987284.1x
33,19,99,8,10×10,54/100,7276079753.8,54.0,808970960,125540825376225928776688,155185824440751.2x
33,19,99,9,11×11,53/100,6472546251.6,53.0,751470480,11043285218914469106557384,14695567574277128.0x
34,20,102,8,10×10,70/100,20029627640.88,70.0,2723733524,214243464650600920939040,78658012159709.7x
34,20,102,9,11×11,73/100,23048896384.8,73.0,3115374880,20134659152677191475373720,6462997208437782.0x
34,20,102,10,12×12,59/100,20915404206.84,59.0,2367221616,1516435385482707030529346200,640597135153359872.0x
35,21,105,4,6×6,0/100,300467520.0,0.0,37160504,230325970960020,6198139.0x
35,21,105,5,7×7,6/100,2586881625.12,6.0,281597860,74244223236892150,263653364.5x
